Original_text_block_one	Original_text_block_two	Original_text_block_three	Special_Command_Original_Text	Translation_block_one	Translation_block_two	Translation_block_three	Special_Command_Translation	READY_FOR_BETA_LEVEL_ONE	Historical_notes_level_two (broader historical context and slightly more detail)	Historical_notes_level_three (dive into specific topics, issues, or events; provide extended reading material or resources)
長城線占領	万歳を叫んで「１８」まで進む	昭和十二年八月二十一日占領	万歳を叫んで「１８」まで進む	Occupation of the Great Wall	Shout "banzai" and advance to 18	Occupied August, 21, 1937	Shout "banzai" and advance to 18	Under the 1933 Tanggu Truce, Japan controlled the Great Wall, with a large demilitarized zone to the south. In 1935, that region was seized by Yin Ju-keng, who created  Hebei Autonomous Region, a Japanese-client state. In 1937, Japanese troops took direct control of the region as part of a broader invasion of China.	NA	NA
獻金	獻金のため元いた	場所へ戻る	場所へ戻る	Donations	As a donation, go back to your last place	Return to your place	Return to your place	The two women in the illustration are waiting for rice rations, which were consolidated by the government in 1939. A year later, Japan formally implemented its food ration system by donating most of its surplus goods to the military and selling the rest back to local corporations. As a result, civilians felt starvation before soldiers did, even though Japan was not yet part of WWII.	Japan, in need of rations for its military, diverted exports of rice from Korea and Taiwan to their own market, effectively starving these people. This created a vehicle through which the imperial government could promote assimilation by distributing food rations to citizens who participated in cultural practices, such as Shintōism. Furthermore, they stressed self-sufficiency among the colonies despite their own reliance on them to support the military. When Taiwanese and Korean markets suffered a bad harvest in 1939, Japan reoriented its attention to Southeast Asian markets for the remainder of WWII, completely redirecting their rice exports to the mainland. This reveals how the empire, despite having not yet joined the Axis Powers, fully intended to wage total war.	NA
炎熱と闘う	NA	NA	NA	Battling the Heat	NA	NA	NA	As Japan expanded the conflict in China in August, Japanese faced intense summer heat.	July and August are typically the hottest months of the year in Shanghai, and also the months with highest rainfall, which makes the weather unbearably sweltering. During these months, the city is stiffingly hot, and the temperature can climb up to over 38 °C (100 °F), although the average is around 35 °C (95 °F).It was recorded that daytime temperature averaged 29.6 °C (85 °F) with peaks at 36 °C (96.8 °F) in August 1937.	NA
呉淞鎮敵前上陆	もう一回賽を振つて進む	NA	もう一回賽を振つて進む	Landing at Woosung (Shanghai)	Roll the dice once and move forward	NA	Roll the Dice once and move forward	The landing at Shanghai marks the expansion of total war between China and Japan to the Yangtze River area.	The Second Shanghai Incident was a military conflict between the ROC and Japanese forces that began on August 13, 1937. It was also called the Battle of Shanghai. The Chinese side called it 淞滬会戦. With the outbreak of this incident, the Beiji Incident expanded into the Shina Incident and developed into an all-out war between Japan and China.	NA
航行遮断	1, 3, 5のほかは進めない	昭和一二年八月二十五日支那沿岸の航行遮断を宣言	1, 3, 5のほかは進めない	Naval Blockade	Rolls other than 1, 3, and 5 may not proceed	On August 25, 1937, Japan announces a naval blockade off the coast of China.	Rolls other than 1, 3, and 5 may not proceed	The Japanese naval blockade in August 1937 was a strategic move during WWII, aimed at isolating and weakening the Chinese government. The blockade effectively cut off China's access to international trade, causing significant economic hardships for the Chinese.	During the Second Sino-Japanese War, the Japanese navy implemented a blockade in August 1937 to isolate and undermine the Chinese government. By cutting off China's access to international trade and resources, Japan aimed to weaken China's ability to resist its advances. The blockade had severe economic consequences for the Chinese, as it disrupted the flow of essential goods, such as food, fuel, and military supplies, leading to increased hardships for the Chinese population.	The blockade encompassed a wide area of the Chinese coast, stretching from the mouth of the Yangtze River to the southernmost tip of China. Japanese warships patrolled the waters, intercepting and detaining any foreign vessels attempting to enter Chinese ports. This effectively cut off China's access to vital resources, including food, fuel, and military supplies, which were critical for sustaining its war effort and supporting its population.The economic impact of the blockade was profound, leading to widespread shortages and soaring inflation in China. The Chinese government struggled to maintain its war effort and provide for its people, which further undermined its ability to resist Japanese advances. The blockade also placed significant pressure on the international community to intervene in the conflict, as countries with economic interests in the region were directly affected by the disruption of trade. Ultimately, the Japanese naval blockade in August 1937 played a crucial role in shaping the course of the Second Sino-Japanese War and had far-reaching consequences for China and the global community.
海外同胞の獻金	ハワイ諸島	献金のため 12 へ戻る	献金のため 12 へ戻る	Donations from Overseas Compatriots	Hawaiian islands	Return to tile 12 as a donation	Return to tile 12 as a donation	In 1938 many Japanese immigrants in the US understood the war in China as a threat to their homeland. Community organizations mobilized to collect donations. Campaigns to support the war effort included both the collection of cash contributions and "comfort bags" imonbukuro 慰問袋 for the troops (see square 40). In 1938, expatriate Japanese communities raised over $280,000 for the Japanese Navy, with more than half from the continential US and Hawaii. That enthusiasm waned as the war dragged on and by 1940 and early 1941 most Japanese immigrant groups abandoned their "patriotic" activities and emphasized instead their loyalty to the US. 	Campaigns to support the war effort included both the collection of cash contributions and "comfort bags" imonbukuro 慰問袋 for the troops (see square 40). In 1938, expatriate Japanese communities raised over $280,000 for the Japanese Imperial Navy, with more than half from the continential US and Hawaii. That enthusiasm waned as the war dragged on, however, and immigrant "patriotic" groups shifted to campaigns of  "forced contributions." As US-Japan tensions increased in 1940 and early 1941, immigrant groups abandoned their "patriotic" activities and emphasized instead their loyalty to the US. 	The Heimusha, an organization of draft-age Japanese-Americans, expressed their decision to disband in early 1941: "At first, it was only China that Japan was at war with, which made itnatural for us to collect donations. We had no reason to hesitate . . . Yet, now that Japan and the United States are on a collision course in this rapidly changing world, . . . a fund-raising drive that aims at benefiting Japan will mislead Americans to think as if we, especially the nisei, have divided loyalties, or even worse, single allegiance to Japan" Eiichiro Azuma, Between Two Empires: Race, History, and Transnationalism in Japanese America (New York: Oxford University Press, 2005), 183
荒鷲の母	NA	NA	NA	Mother of a brave sky warrior	NA	NA	NA	The square commemorates Yamanouchi Yasu 山内ヤス, the mother of a Japanese pilot who disappered in August 1937 while on a bombing raid. Yasu wrote of her pride that her son "served in the imperial army without shame" and explained that whenever she saw a plane she thought that her son Tatsuo was somehow still aloft. From the late 1930s until 1945 the Japanese press ran many similar stories of heroic, patriotic mothers.	Newspapers reprinted a poem Yasu sent the Imperial Navy:Do we weep when the light of the moon fadesOr grieve the fading fragrance of a flower?We do notWhen I lift my head to the skies, I see a planeThere, on that plane, my Tatsuo lives on月の明るきをながめては泣かんとするか花の香はしきをめでては悩まんとするやあらず首をあげて空ゆく飛行機を見よあれよあの機達雄永へに生きて在るよIs Yasu greiving, or denying her grief? Can you emphasize with her situation? Or is she merely endorsing a reckless and disastrous war?	NA
戦況ニュース	NA	NA	NA	News of the War	NA	NA	NA	The Japanese radio audience surged in the 1930s, although most Japanese still learned of the war primarily through print media. Radio listeners were supposed to pay a subscription fee to the national broadcast service (NHK) and paying "receiving contractors' surged from one million in 1932, to three million in 1937 and six million (over 40% of households) in 1941. The Japanese government increasingly censored radio news as the war expanded.	At the time during the Asia-Pacific War, Japan's mass media industry mainly consisted of print media, film, and radio. As the war kept escalating, the government, due to national mobilization, took over most aspects of daily lives of Japanese civilians, including mass media. They imposed strict controls, censorship, and promoted national sacrifice. Their main message to the public through media was the declaration that Japan was a divine nation protected by the gods.The government made use of the Newspaper Law to higly censor the radio network which forbid Freedom of Press, requiring government clearance to publish war related news. The law restricted media from publishing governmental documents and legislations, which led to leaving most of the Japanese people ignorant about the country's economic and military incidents.	NA
工兵隊の人柱	もう一度賽 振って突進する	NA	もう一度賽 振って突進する	"Human Ladders" of the Engineer Corps	Roll the dice again and charge forward	NA	Roll the dice again and charge forward	The Japanese Army Corps of Engineers were responsible for supporting infantry in battle by constructing and maintaining infrastructure. In this particular illustration, engineers can be seen holding up a fellow soldier as they cross a river. This was a tactic used by the Japanese to cross wide rivers where in was impractical to build bridges. The term "human ladder" matches the images, but also has overtones of having someone die for a cause, and even human sacrifice.	The Japanese Engineer Corps were tasked with building and reparing bridges and roads for infantry and vehicle transport. The engineers were fitted with a variety of tools. The most common weres shovels and sledgehammers. Other regiments were given small rubber boats, piledrivers, and tractors. These engineers ensured that army divisions were well supported and could move swiftly to maximize their survival.	From “The Rising Sun” by John Toland:“From the first the enemy had kept the British off balance in Malaya. Outnumbered more than 2 to 1, the Japanese never stopped to consolidate a gain, to regroup or wait for supplies; they surged down the main roads on thousands of bicycles and in hundreds of abandoned British cars and trucks. Whenever they came to a destroyed bridge, the cyclists waded across the river holding aloft their bikes or crossed on log bridges supported on the shoulders of engineers.”
銃後の奉仕	ほかの人が全部一つ進む	NA	ほかの人が全部一つ進む	Serving on the Home Front 	Everyone else moves forward 1 space	NA	Everyone else moves forward 1 space	The phrase "serving on the home front" covered a wide range of activities including buying war bonds, entertaining the troops, and visiting injured soldiers. The women in the foreground wears a sash from the "Patriotic Ladies’ Association" (Aikoku fujin kai 愛国婦人会) (1901-1942), which was active in funding private pensions for disabled veterans. The second sash is for the "Greater Japan Ladies National Defense Association" (DaiNihon kokubō fujin kai 大日本国防婦人会) (1932-1941). The Japanese government merged the two groups in 1942 	The phrase "home front" was relatively obscure before 1937 and was rarely used even in wartime. Between 1879 and 1936, for example, the term appeared in only 64 stories in the the Asahi Shimbun daily newspaper. In 1937 it surged to 398 and in 1938 to 731, more than two stores per day. This suguroku was thus part of a broadly shift in print media.  	Why was there such an explosion of stories about the "home front"? The Konoe administration expanded the war in China in July 1937 without a clear plan for national mobilization. Without formal structures for a total war, the government needed voluntary efforts, and most media outlets celebrated those efforts as virtuous and patriotic.Mikula, Maja. "Activities of the Japanese Patriotic Ladies’ Association (Aikoku Fujinkai)." In Women, Activism and Social Change, edited by Maja Mikula, 59-80. London: Routledge, Taylor & Francis Group, 2005.
抗州湾上陸	30へ一挙に進撃	昭和一二年十一月五日敵前上陸、これによって江南戦線大いに展開	30へ一挙に進撃	Hangzhou Bay Landing	Advance to 30	On November 5, 1937, the enemy landed in front of the enemy, which greatly expanded the Konan front	Advance to 30	Hangzhou Bay is bordered by the Zhejiang province and is located south of Shanghai. It served as a strategic site for the Japanese Army’s military campaigns during WWII. The Japanese landings in Hangzhou Bay forced many civilians into refugees and foreshadowed the coming of the Nanjing Massacre.	Japan’s capture of Beiping and Tianjin in July 1937 and attack on Shanghai in August 1937 kick-started the invasion of China. In October 1937, the Shanghai Expeditionary Army (SEA), which was led by Gen. Matsui Iwane, was ordered to destroy enemy forces in and around Shanghai. Gen. Iwane was later joined with Gen. Yanagawa Heisuke who anticipated swift surrender from Chiang Kai-shek’s National Government. However, the Japanese military encountered Chinese resistance, leading to the estimated death of 9,185 and 31,125 wounded Japanese soldiers at Shanghai. With the Japanese landing at Hangzhou Bay, this resistance was snuffed out as the Japanese military successfully gained control of Shanghai.	With the various Japanese military attacks during the second World War, many civilians became displaced. The repeated Japanese landings in Hangzhou Bay caused an estimate of around five million of the Zhejiangese population into refugee life. The Japanese landing in Hangzhou Bay in early November 1937 caused the residents a rude awakening to the reality of the war. Around 400,000 of the Zhejiang population fled in fear. Three years later, the Japanese launched a second round of large-scale armed attacks in the region. The goal was to take control of the greater part of northern Zhejiang that included Ningbo, a key seaport in the coastal area. This set in motion a fresh wave of refugees, reflecting the experiences of refugees from the Hangzhou Bay landing.
婦人愛国の歌	「皇御國の」か「抱いた坊や」の歌一節を唄う	昭和十三年「主婦之友」六月號で「婦人愛国の歌」發表	「皇御國の」か「抱いた坊や」の歌一節を唄う	Women's Patriotic Songs	Sing one verse of "His Majesty's Land" or "The Boy I Held" 	"Women's Patriotic Songs" published in the June 1938 issue of Fujin no Tomo	Sing one verse of "His Majesty's Land" or "The Boy I Held" 	In this square, the game promotes the publisher, sending players back to the June 1938 issue to find the song lyrics. Those songs celebrated how women, through their service on the home front, were showing their patriotism and strength.	Lyrics to "The Boy I Held"抱いた坊やの　小さい手にThe little hand of the boy I held 手を持ち添へて　出征のHis hand in mine as [you] went off to war  あなたに振つた　紙の旗We waved for you a paper flag  その旗かけで　日本のIn the shadow of that flag, Japan’s … 妻の覚悟は　出来ましたWives show their resolve --今日は母校の　講堂でToday in the assembly hall of my old school 戦地へ送る　日の丸やWe sent flags off to the front 真心こめた　慰問品With sincere hearts we sent gifts of comfort その針々を　日本のAnd with each needle stitch, Japan’s … 妻の誠で　縫ひましたWives sew sincerity--ひばりの声は　空高くThe cry of the lark  high in the sky我が家の畑は　金色にThe golden gleam of our family’s fieldsみごと実つた　麦の秋Autumn with resplendent ripened wheatその穂を撫でて　日本のThreshing those sheaves, Japan’s妻の力を　知りましたWives know their strength--進めば屠る　敵の陣The murderous advance of the enemy御稜威に勇む　皇軍のThe imperial army is made bold by His Majesty’s radiance銃後を守る　わたしたちWhile we guard the home frontその栄光に　日本のAnd with honor,  Japan’s婦人は強く　立ちましたWomen stand with strength	NA
愛国機献納	NA	NA	NA	Patriotic Donations of Aircraft	NA	NA	NA	Campaigns to donate aircraft to the Japanese Army began in 1931 and surged in mid-1937 with Japan's escalation of WWII. This tile does not mention a specific example, but mass media were active in such campaign. In July 1937, for example, The Asahi Shinbun newspaper celebrated how its own campaign raised 600,000 yen (approx $180K) from ordinary readers in just a few days. Such planes were commonly known as "patriotic planes" (aikokugō 愛国号).	Between 1931 and 1945, private campaigns raised funds to donate thousands of aircraft to the military. Organizers included civic groups, businesses, and universities. The campaigns were celebrated through public events as well as commemorative postcards and books. There were even children's models of "patriotic planes"	NA
大御心	畏くも天皇陛下より軍人教護のため御内帑三百万円下賜あらせられ、皇后陛下より出征家族および戦死者英霊へ御歌を下賜あらせらる	NA	NA	His Most Gracious Majesty's Spirit	His Majesty has donated three million yen from the Privy Purse for soldiers' aid and Her Majesty offers Her poems to families with soldiers at the front and for the souls of departed soldiers	NA	NA	The Japanese imperial family, despite their divine origins, supported the war effort much like any ordinary Japanese family: they contributed by giving money and writing letters to console military families. Such acts of support by the imperial house were common until 1938. The media also celebrated their charity works and their interest in education and public welfare.	Use of the phrase "His Most Gracious Majesty's Spirit" (大御心 ōmigokoro) began to change in 1938. Newspaper stories began to describe the emperor as directly involved in state affairs, helping to plan the war, rather than just spiritually supportive of the troops and their families. Historians disagree on whether that change reflects a real change in the emperor's activities, or merely a shift in publicity and propaganda. This sugoroku from December 1938 is slighly behind that trend and still depcits the emperor as removed from wartime planning.  	NA
防空演習	自分の右隣の人賽を振って貰う	NA	自分の右隣の人賽を振って貰う	Air Raid Drill	Have the player to your right roll the dice for you	NA	Have the player to your right roll the dice for you	In order to prevent damage from air raids, practical training was conducted in Japan. The Air Defense Law, enacted on April 5, 1935, integrated air defense exercises under the air defense plan established by the district governor, mobilizing all local residents. Training to minimize damage in the event of an air raid was conceived as part of a national mobilization plan. However, such training and Japanese air defenses in general would prove to be ineffective in the face of real raids. 	On the local level, neighborhoods were organized into fire prevention groups of roughly 10 households. These exercises were ultimately futile in the face of real large-scale raids, such as the US firebombing campaigns, but they played a major role in incorporating the people into the wartime structure. Furthermore, in 1927, the Bureau of Resources was established in the cabinet as a mobilization planning agency. The Bureau of Resources was responsible for overseeing the establishment and execution of plans for the control and operation of human and material resources. The aim of the Bureau of Resources was to strengthen the national defense system. Active-duty military personnel in the Army and Navy served as administrative officers.	NA
